timestamp_s,thrust_raw,thrust_gf,torque_ncm,efficiency_gpw,voltage_mv,current_a,throttle_pct
0.000000,-526701,-0.007,0.0077,-0.0888,8401.250,0.008750,0
0.107463,-526642,0.079,0.0040,0.9410,8402.500,0.010000,0
0.195577,-526635,0.089,-0.0037,1.0620,8401.250,0.010000,0
0.285079,-526680,0.024,0.0024,0.2849,8402.500,0.010000,0
0.372516,-526688,0.012,0.0147,0.1678,8401.250,0.008750,0
0.465184,-526670,0.038,0.0114,0.4577,8400.000,0.010000,0
0.556430,-526671,0.037,0.0056,0.3914,8402.500,0.011250,0
0.645730,-526661,0.052,0.0012,0.6130,8401.250,0.010000,0
0.736722,-526651,0.066,0.0062,0.7856,8402.500,0.010000,0
0.826027,-526636,0.088,0.0087,1.1938,8402.500,0.008750,0
0.917678,-526705,-0.012,-0.0015,-0.1468,8401.250,0.010000,0
1.010677,-526697,-0.001,-0.0044,-0.0086,8401.250,0.010000,33
1.099824,-526672,0.036,0.0004,0.4231,8401.250,0.010000,33
1.197915,-526668,0.041,0.0096,0.4922,8401.250,0.010000,33
1.285786,-526660,0.053,0.0018,0.0173,8351.250,0.366250,33
1.377236,-526671,0.037,-0.0209,0.0141,8358.750,0.315000,33
1.489418,-526270,0.619,-0.2045,0.0452,8105.000,1.690000,33
1.579598,-523914,4.037,-0.4502,0.4009,8161.250,1.233750,33
1.647135,-515862,15.719,-0.7565,1.8190,8181.250,1.056250,33
1.749177,-505902,30.169,-0.7416,3.6853,8186.250,1.000000,33
1.841981,-500220,38.412,-0.5801,4.6480,8192.500,1.008750,33
1.941963,-497917,41.753,-0.4930,5.2029,8188.750,0.980000,33
2.040200,-497142,42.878,-0.4668,5.5311,8192.500,0.946250,33
2.127373,-496860,43.287,-0.4584,5.4148,8188.750,0.976250,33
2.216636,-496745,43.454,-0.4490,5.5776,8190.000,0.951250,33
2.306744,-496632,43.618,-0.4518,5.4096,8196.250,0.983750,33
2.394823,-496590,43.679,-0.4487,5.6418,8192.500,0.945000,33
2.486313,-496606,43.655,-0.4482,5.2210,8197.500,1.020000,33
2.575215,-496522,43.777,-0.4481,5.3513,8201.250,0.997500,33
2.666745,-496446,43.888,-0.4419,5.4309,8193.750,0.986250,33
2.757548,-496434,43.905,-0.4390,5.5519,8195.000,0.965000,33
2.849048,-496495,43.817,-0.4450,5.5247,8197.500,0.967500,33
2.935496,-496455,43.875,-0.4422,5.2992,8197.500,1.010000,33
3.029827,-496491,43.822,-0.4450,5.4508,8203.750,0.980000,33
3.119060,-496469,43.854,-0.4381,5.6139,8201.250,0.952500,33
3.236190,-496508,43.798,-0.4386,5.4137,8192.500,0.987500,33
3.330353,-496573,43.703,-0.4309,5.2834,8200.000,1.008750,33
3.395308,-496579,43.695,-0.4302,5.5831,8195.000,0.955000,33
3.492231,-496504,43.803,-0.4236,5.3771,8197.500,0.993750,33
3.581933,-496490,43.824,-0.4228,5.4674,8200.000,0.977500,33
3.674388,-496499,43.811,-0.4311,5.5370,8188.750,0.966250,33
3.764582,-496515,43.788,-0.4239,5.1640,8202.500,1.033750,33
3.883546,-496542,43.748,-0.4231,5.5771,8192.500,0.957500,33
3.973656,-496573,43.703,-0.4252,5.2679,8193.750,1.012500,33
4.066243,-496492,43.821,-0.4320,5.5645,8192.500,0.961250,66
4.157916,-496480,43.838,-0.4274,5.3755,8196.250,0.995000,66
4.224406,-496438,43.899,-0.4311,1.2576,7746.250,4.506250,66
4.316488,-492660,49.380,-0.5933,1.6356,7791.250,3.875000,66
4.416480,-475122,74.825,-1.0156,2.4945,7798.750,3.846250,66
4.524237,-458705,98.642,-0.9547,3.4227,7805.000,3.692500,66
4.602139,-453029,106.877,-0.5718,3.7261,7805.000,3.675000,66
4.706919,-451637,108.897,-0.3824,3.6288,7822.500,3.836250,66
4.783970,-451225,109.495,-0.2854,3.8195,7830.000,3.661250,66
4.891969,-451113,109.657,-0.2637,3.7306,7817.500,3.760000,66
4.968705,-451164,109.583,-0.2537,3.8402,7828.750,3.645000,66
5.074301,-451305,109.378,-0.2139,3.8042,7826.250,3.673750,66
5.162098,-451487,109.114,-0.1818,3.7968,7820.000,3.675000,66
5.250889,-451651,108.876,-0.1853,3.7566,7822.500,3.705000,66
5.337251,-451716,108.782,-0.1574,3.8030,7828.750,3.653750,66
5.426779,-451882,108.541,-0.1019,3.7891,7821.250,3.662500,66
5.513648,-451978,108.402,-0.0887,3.6585,7841.250,3.778750,66
5.631535,-451936,108.463,-0.0665,3.8122,7832.500,3.632500,66
5.720804,-451916,108.492,-0.0287,3.7358,7822.500,3.712500,66
5.809896,-451917,108.491,0.0065,3.7015,7821.250,3.747500,66
5.900331,-451887,108.534,0.0112,3.8007,7826.250,3.648750,66
5.989012,-451860,108.573,-0.0046,3.7313,7832.500,3.715000,66
6.078632,-451980,108.399,0.0273,3.8940,7825.000,3.557500,66
6.167256,-452104,108.219,0.0385,3.8128,7813.750,3.632500,66
6.257549,-452207,108.070,0.0192,3.8157,7821.250,3.621250,66
6.346713,-452310,107.920,0.0144,3.7502,7820.000,3.680000,66
6.437823,-452275,107.971,0.0406,3.6869,7825.000,3.742500,66
6.526399,-452240,108.022,0.0812,3.7460,7820.000,3.687500,66
6.617978,-452291,107.948,0.0967,3.8193,7821.250,3.613750,66
6.737788,-452367,107.838,0.1158,3.7384,7820.000,3.688750,66
6.828964,-452433,107.742,0.1125,3.8046,7817.500,3.622500,66
6.919371,-452379,107.820,0.1104,3.7473,7818.750,3.680000,66
