timestamp_s,thrust_raw,thrust_gf,torque_ncm,efficiency_gpw,voltage_mv,current_a,throttle_pct
0.000000,-522546,0.005,-0.0396,0.0631,8513.750,0.010000,0
0.102315,-522552,-0.003,-0.0355,-0.0392,8515.000,0.010000,0
0.209873,-522569,-0.028,-0.0380,-0.2923,8515.000,0.011250,0
0.287969,-522565,-0.022,-0.0385,-0.2317,8515.000,0.011250,0
0.394221,-522560,-0.015,-0.0378,-0.1755,8512.500,0.010000,0
0.472055,-522564,-0.021,-0.0417,-0.2437,8513.750,0.010000,0
0.579724,-522560,-0.015,-0.0465,-0.1755,8515.000,0.010000,0
0.657899,-522614,-0.093,-0.0482,-1.0957,8513.750,0.010000,0
0.764525,-522593,-0.063,-0.0453,-0.7379,8513.750,0.010000,0
0.842986,-522605,-0.080,-0.0356,-0.9424,8513.750,0.010000,0
0.948781,-522566,-0.024,-0.0336,-0.2777,8516.250,0.010000,0
1.026539,-522593,-0.063,-0.0424,-0.6558,8515.000,0.011250,33
1.142418,-522573,-0.034,-0.0434,-0.3529,8513.750,0.011250,33
1.221557,-522580,-0.044,-0.0383,-0.4590,8513.750,0.011250,33
1.284929,-522596,-0.067,-0.0415,-0.0415,8470.000,0.191250,33
1.392532,-522459,0.132,-0.0405,0.0173,8365.000,0.910000,33
1.483588,-519915,3.822,-0.1544,0.5843,8387.500,0.780000,33
1.561815,-513503,13.125,-0.4673,2.0751,8391.250,0.753750,33
1.680947,-507091,22.428,-0.3811,3.7917,8390.000,0.705000,33
1.770487,-505839,24.244,-0.2658,4.1336,8393.750,0.698750,33
1.836041,-505668,24.492,-0.2403,4.0538,8391.250,0.720000,33
1.943249,-505685,24.467,-0.2242,4.2201,8387.500,0.691250,33
2.021656,-505682,24.472,-0.2285,4.0859,8391.250,0.713750,33
2.110526,-505627,24.552,-0.2182,4.2745,8385.000,0.685000,33
2.212725,-505635,24.540,-0.2102,4.0067,8390.000,0.730000,33
2.319978,-505690,24.460,-0.2098,4.2011,8392.500,0.693750,33
2.398490,-505707,24.435,-0.1949,3.7992,8393.750,0.766250,33
2.506446,-505714,24.425,-0.1815,3.9916,8382.500,0.730000,33
2.585926,-505711,24.430,-0.1779,3.8683,8392.500,0.752500,33
2.692363,-505643,24.528,-0.1741,4.0291,8382.500,0.726250,33
2.769643,-505638,24.536,-0.1766,3.8698,8383.750,0.756250,33
2.875127,-505640,24.533,-0.1724,4.0642,8383.750,0.720000,33
2.952064,-505629,24.549,-0.1805,4.1620,8381.250,0.703750,33
3.058942,-505650,24.518,-0.1767,3.9041,8387.500,0.748750,33
3.137108,-505622,24.559,-0.1721,4.0904,8382.500,0.716250,33
3.248913,-505617,24.566,-0.1704,4.2627,8382.500,0.687500,33
3.327938,-505643,24.528,-0.1650,3.8473,8388.750,0.760000,33
3.434786,-505705,24.438,-0.1597,4.2342,8380.000,0.688750,33
3.512231,-505652,24.515,-0.1469,4.1637,8381.250,0.702500,33
3.618126,-505617,24.566,-0.1379,4.0857,8380.000,0.717500,33
3.695260,-505691,24.459,-0.1408,4.0096,8385.000,0.727500,33
3.800458,-505764,24.353,-0.1353,3.8039,8382.500,0.763750,33
3.878402,-505702,24.443,-0.1403,3.7802,8383.750,0.771250,33
3.985261,-505649,24.520,-0.1379,4.0685,8385.000,0.718750,33
4.062576,-505650,24.518,-0.1382,4.0199,8383.750,0.727500,66
4.177373,-505701,24.444,-0.1458,4.0868,8380.000,0.713750,66
4.255227,-505451,24.807,-0.1368,1.2181,8117.500,2.508750,66
4.316080,-499012,34.149,-0.2697,1.8331,8152.500,2.285000,66
4.439251,-484898,54.625,-0.6041,3.0087,8146.250,2.228750,66
4.527504,-479252,62.817,-0.5530,3.3014,8148.750,2.335000,66
4.636300,-478719,63.590,-0.5073,3.3293,8145.000,2.345000,66
4.713522,-478843,63.410,-0.5154,3.4711,8146.250,2.242500,66
4.818181,-478838,63.417,-0.5296,3.5362,8142.500,2.202500,66
4.894665,-478849,63.401,-0.5424,3.3235,8152.500,2.340000,66
5.000215,-478893,63.337,-0.5419,3.4432,8143.750,2.258750,66
5.077198,-478904,63.321,-0.5447,3.4676,8125.000,2.247500,66
5.183229,-478878,63.359,-0.5527,3.5190,8142.500,2.211250,66
5.260560,-478909,63.314,-0.5314,3.5823,8140.000,2.171250,66
5.365200,-478930,63.284,-0.5142,3.5067,8133.750,2.218750,66
5.441867,-478994,63.191,-0.5226,3.3936,8122.500,2.292500,66
5.545881,-478989,63.198,-0.5385,3.3396,8135.000,2.326250,66
5.621920,-478913,63.308,-0.5291,3.4873,8122.500,2.235000,66
5.725588,-478811,63.456,-0.5315,3.3036,8126.250,2.363750,66
5.802105,-478782,63.498,-0.5210,3.5443,8125.000,2.205000,66
5.907046,-478819,63.445,-0.5216,3.4991,8126.250,2.231250,66
5.984518,-478872,63.368,-0.5119,3.5959,8116.250,2.171250,66
6.090838,-478897,63.332,-0.5020,3.6379,8135.000,2.140000,66
6.168290,-478887,63.346,-0.5088,3.3890,8131.250,2.298750,66
6.272509,-478977,63.216,-0.5073,3.3967,8122.500,2.291250,66
6.348982,-478918,63.301,-0.5075,3.3574,8131.250,2.318750,66
6.454213,-478947,63.259,-0.5201,3.5268,8116.250,2.210000,66
6.530832,-478975,63.218,-0.5164,3.4158,8117.500,2.280000,66
6.634600,-478878,63.359,-0.5156,3.4657,8116.250,2.252500,66
6.711060,-478975,63.218,-0.4921,3.3396,8120.000,2.331250,66
6.816443,-479061,63.094,-0.5046,3.3201,8121.250,2.340000,66
6.916597,-479160,62.950,-0.4997,3.4311,8122.500,2.258750,66
7.021935,-479217,62.867,-0.5069,3.3899,8116.250,2.285000,66
7.099672,-479162,62.947,-0.4930,3.5430,8112.500,2.190000,100
7.212171,-479236,62.840,-0.4904,3.4574,8105.000,2.242500,100
7.289248,-479040,63.124,-0.5168,1.4570,7612.500,5.691250,100
7.394027,-469615,76.798,-0.9319,1.8523,7651.250,5.418750,100
7.485364,-449138,106.506,-1.5303,2.4976,7666.250,5.562500,100
7.548902,-441503,117.583,-1.4985,2.7638,7663.750,5.551250,100
7.666273,-440918,118.432,-1.4316,2.8081,7652.500,5.511250,100
7.743486,-441109,118.155,-1.4154,2.8605,7647.500,5.401250,100
7.847844,-441207,118.012,-1.4174,2.8268,7655.000,5.453750,100
7.923839,-441501,117.586,-1.4096,2.7901,7648.750,5.510000,100
8.010622,-441784,117.175,-1.4139,2.8361,7638.750,5.408750,100
8.111287,-441846,117.085,-1.4061,2.7606,7630.000,5.558750,100
8.216297,-441961,116.919,-1.4087,2.7786,7635.000,5.511250,100
8.293689,-441989,116.878,-1.4217,2.7849,7637.500,5.495000,100
8.399125,-441892,117.019,-1.3989,2.7961,7621.250,5.491250,100
8.475702,-442157,116.634,-1.3900,2.8093,7621.250,5.447500,100
8.579821,-442108,116.705,-1.3969,2.8308,7610.000,5.417500,100
8.656212,-442242,116.511,-1.3856,2.8044,7612.500,5.457500,100
8.763364,-442389,116.298,-1.3703,2.8215,7601.250,5.422500,100
8.841604,-442435,116.231,-1.3661,2.8545,7607.500,5.352500,100
8.947391,-442591,116.005,-1.3900,2.8219,7598.750,5.410000,100
9.024381,-442676,115.881,-1.4010,2.8116,7602.500,5.421250,100
9.129689,-442907,115.546,-1.3880,2.7821,7596.250,5.467500,100
9.206666,-443053,115.334,-1.3828,2.8102,7603.750,5.397500,100
9.312781,-443172,115.162,-1.3795,2.8202,7590.000,5.380000,100
9.389156,-443453,114.754,-1.3751,2.7805,7590.000,5.437500,100
9.493949,-443502,114.683,-1.3783,2.7750,7581.250,5.451250,100
9.570527,-443469,114.731,-1.3736,2.7552,7598.750,5.480000,100
9.676513,-443717,114.371,-1.3811,2.8018,7587.500,5.380000,100
9.753287,-443558,114.602,-1.3912,2.7570,7597.500,5.471250,100
9.858732,-443591,114.554,-1.3920,2.8057,7601.250,5.371250,100
9.936964,-443590,114.555,-1.3841,2.8101,7591.250,5.370000,100
10.042380,-443596,114.547,-1.3843,2.8098,7598.750,5.365000,100
10.119585,-443495,114.693,-1.3894,2.8333,7591.250,5.332500,0
