timestamp_s,thrust_raw,thrust_gf,torque_ncm,efficiency_gpw,voltage_mv,current_a,throttle_pct
8.191797,-483776,73.314,0.6486,0.9870,6815.000,10.900000,100
8.269211,-483902,73.131,0.6407,0.9887,6807.500,10.865000,100
8.387322,-483985,73.011,0.6316,0.9883,6812.500,10.843750,100
8.463288,-484233,72.651,0.6200,0.9871,6807.500,10.811250,100
8.579268,-484412,72.391,0.6103,0.9875,6802.500,10.776250,100
8.655156,-484593,72.129,0.6074,0.9863,6800.000,10.755000,100
8.730850,-484845,71.763,0.6112,0.9769,6827.500,10.760000,100
8.846813,-485019,71.511,0.6237,0.9714,6821.250,10.792500,100
8.922909,-485048,71.469,0.6387,0.9798,6827.500,10.683750,100
9.041632,-485125,71.357,0.6353,0.9765,6827.500,10.702500,100
9.118528,-485223,71.215,0.6295,0.9732,6833.750,10.707500,100
9.199082,-485421,70.928,0.6237,0.9698,6845.000,10.685000,100
9.316921,-485489,70.829,0.6413,0.9645,6843.750,10.730000,100
9.377813,-485486,70.833,0.6562,0.9722,6841.250,10.650000,100
9.494008,-485575,70.704,0.6569,0.9719,6836.250,10.641250,100
9.570618,-485607,70.658,0.6639,0.9755,6832.500,10.601250,100
9.648240,-485837,70.324,0.6650,0.9768,6813.750,10.566250,100
9.764752,-485777,70.411,0.6897,0.9824,6795.000,10.547500,100
9.842913,-486025,70.051,0.7151,0.9780,6800.000,10.533750,100
9.961418,-486148,69.873,0.7062,0.9808,6796.250,10.482500,100
10.038383,-486321,69.622,0.7036,0.9815,6783.750,10.456250,100
10.114490,-486437,69.454,0.6911,0.9745,6781.250,10.510000,100
10.230916,-486471,69.404,0.6969,0.9828,6781.250,10.413750,100
