timestamp_s,thrust_raw,thrust_gf,torque_ncm,efficiency_gpw,voltage_mv,current_a,throttle_pct
0.000000,-522643,0.074,0.0167,0.9990,8481.250,0.008750,0
0.095561,-522659,0.051,0.0198,0.6003,8482.500,0.010000,0
0.159245,-522651,0.063,0.0252,0.7372,8482.500,0.010000,0
0.268096,-522640,0.078,0.0230,0.7403,8481.250,0.012500,0
0.347732,-522669,0.036,0.0182,0.3817,8481.250,0.011250,0
0.457890,-522684,0.015,0.0216,0.1975,8481.250,0.008750,0
0.538455,-522706,-0.017,0.0210,-0.2035,8482.500,0.010000,0
0.649367,-522725,-0.045,0.0272,-0.5285,8482.500,0.010000,0
0.730164,-522725,-0.045,0.0311,-0.5285,8482.500,0.010000,0
0.839586,-522717,-0.033,0.0205,-0.3917,8482.500,0.010000,0
0.919668,-522700,-0.009,0.0142,-0.1009,8482.500,0.010000,0
1.029115,-522716,-0.032,0.0168,-0.3746,8481.250,0.010000,33
1.109371,-522710,-0.023,0.0250,-0.2719,8482.500,0.010000,33
1.181178,-522687,0.010,0.0254,0.1214,8483.750,0.010000,33
1.290737,-522667,0.039,0.0162,0.0122,8431.250,0.383750,33
1.370941,-522661,0.048,0.0205,0.0065,8351.250,0.885000,33
1.450279,-521965,1.058,-0.0482,0.2426,8406.250,0.518750,33
1.561187,-518204,6.514,-0.2980,1.6478,8411.250,0.470000,33
1.651089,-514862,11.363,-0.2578,2.6611,8413.750,0.507500,33
1.738421,-514378,12.065,-0.0936,2.8913,8408.750,0.496250,33
1.856662,-514444,11.969,-0.0551,2.6235,8410.000,0.542500,33
1.934311,-514532,11.842,-0.0480,2.8302,8410.000,0.497500,33
2.041879,-514583,11.768,-0.0299,2.7116,8406.250,0.516250,33
2.120434,-514586,11.763,-0.0171,2.7925,8403.750,0.501250,33
2.182020,-514536,11.836,-0.0085,3.0275,8407.500,0.465000,33
2.288218,-514574,11.781,-0.0124,2.6749,8408.750,0.523750,33
2.388915,-514565,11.794,-0.0008,2.6530,8407.500,0.528750,33
2.494625,-514550,11.816,0.0037,2.5159,8405.000,0.558750,33
2.572052,-514626,11.705,0.0108,2.5375,8406.250,0.548750,33
2.677838,-514578,11.775,0.0168,2.8454,8402.500,0.492500,33
2.755970,-514605,11.736,0.0275,2.6403,8406.250,0.528750,33
2.863933,-514646,11.676,0.0256,2.9379,8411.250,0.472500,33
2.942616,-514676,11.633,0.0332,2.5817,8402.500,0.536250,33
3.050604,-514654,11.665,0.0412,2.9209,8407.500,0.475000,33
3.129448,-514633,11.695,0.0432,2.9852,8402.500,0.466250,33
3.236300,-514642,11.682,0.0537,2.9036,8403.750,0.478750,33
3.314338,-514640,11.685,0.0536,2.6623,8400.000,0.522500,33
3.404035,-514644,11.679,0.0622,2.7730,8402.500,0.501250,33
3.482655,-514651,11.669,0.0680,2.5781,8401.250,0.538750,33
3.591375,-514667,11.646,0.0724,2.6912,8402.500,0.515000,33
3.670287,-514641,11.683,0.0782,3.1955,8405.000,0.435000,33
3.779002,-514599,11.744,0.0870,2.8157,8405.000,0.496250,33
3.857651,-514563,11.797,0.0897,3.0269,8403.750,0.463750,33
3.964112,-514544,11.824,0.0912,2.8582,8400.000,0.492500,33
4.042052,-514623,11.710,0.1002,2.9748,8397.500,0.468750,33
4.150062,-514613,11.724,0.1059,2.5438,8398.750,0.548750,66
4.236451,-514621,11.713,0.1037,2.0160,8055.000,0.721250,66
4.343556,-514368,12.080,0.0997,0.9060,8242.500,1.617500,66
4.432795,-509475,19.178,0.0020,1.5615,8263.750,1.486250,66
4.498588,-500728,31.869,-0.2031,2.5349,8257.500,1.522500,66
4.616699,-498033,35.778,-0.1369,2.7704,8258.750,1.563750,66
4.705402,-497818,36.090,-0.0781,2.9987,8257.500,1.457500,66
4.768340,-497872,36.012,-0.0563,2.9019,8252.500,1.503750,66
4.875086,-497833,36.069,-0.0609,2.9169,8257.500,1.497500,66
4.951708,-497872,36.012,-0.0592,2.8508,8256.250,1.530000,66
5.057220,-497951,35.897,-0.0521,2.9263,8253.750,1.486250,66
5.133993,-497989,35.842,-0.0482,2.9389,8247.500,1.478750,66
5.241702,-497863,36.025,-0.0438,2.9946,8253.750,1.457500,66
5.319178,-497857,36.034,-0.0411,2.9721,8247.500,1.470000,66
5.424519,-497936,35.919,-0.0337,2.8020,8243.750,1.555000,66
5.501064,-497904,35.966,-0.0333,2.9092,8248.750,1.498750,66
5.608433,-497932,35.925,-0.0340,2.9132,8248.750,1.495000,66
5.685129,-497923,35.938,-0.0312,2.8322,8246.250,1.538750,66
5.791126,-497908,35.960,-0.0285,2.9056,8243.750,1.501250,66
5.867999,-497940,35.913,-0.0227,2.8775,8245.000,1.513750,66
5.973188,-497931,35.926,-0.0209,3.0242,8242.500,1.441250,66
6.073250,-497945,35.906,-0.0176,2.8908,8246.250,1.506250,66
6.178987,-497973,35.866,-0.0229,2.9480,8241.250,1.476250,66
6.256337,-498040,35.768,-0.0162,2.9452,8247.500,1.472500,66
6.361661,-497941,35.912,-0.0108,2.8547,8242.500,1.526250,66
6.438466,-498019,35.799,-0.0191,3.0790,8238.750,1.411250,66
6.544003,-498075,35.718,-0.0083,2.9145,8238.750,1.487500,66
6.620910,-498035,35.776,-0.0016,2.7890,8242.500,1.556250,66
6.726043,-498085,35.703,0.0028,2.9926,8235.000,1.448750,66
6.802560,-498132,35.635,0.0129,3.0055,8233.750,1.440000,66
